Date,ticker,Close,return_1d,volatility_30d,momentum_30d,ma_50_ratio,ma_200_ratio,drawdown,vix_close,target_return_1d,target_direction_1d,regime,regime_label,regime_0_prob,regime_1_prob,regime_2_prob
2011-12-30,^GSPC,1257.5999755859375,-0.004291336527923,0.0151199371205746,0.0167271190583973,0.0163844934138017,,-0.0777421776786811,23.39999961853028,0.0154739848804035,1,2,Crisis,4.383879110233978e-21,0.07765524390259118,0.9223447560976348
2012-01-03,^GSPC,1277.06005859375,0.0154739848804035,0.0149821484485092,0.0501015956076249,0.0310841991968924,,-0.0634711740802472,22.96999931335449,0.0001879239999402,1,1,Bull,2.9971263606717874e-19,0.592807724000316,0.40719227599975083
2012-01-04,^GSPC,1277.300048828125,0.0001879239999402,0.0149796655590442,0.0507136290675249,0.030628079897164,,-0.063295177837221,22.21999931335449,0.0029437169199786,1,1,Bull,1.1043246869362333e-18,0.9232510680896125,0.07674893191017104
2012-01-05,^GSPC,1281.06005859375,0.0029437169199786,0.0144756261432462,0.0738319834088006,0.0332139357165859,,-0.0605377840031947,21.479999542236328,-0.0025369614626558,0,1,Bull,2.1008465952165846e-20,0.9997338850299122,0.0002661149700287445
2012-01-06,^GSPC,1277.81005859375,-0.0025369614626558,0.0144532841318213,0.0755614428635662,0.0297827581417,,-0.0629211634408,20.6299991607666,0.0022615979258335,1,1,Bull,1.4655862866432627e-22,0.9999991133622026,8.866376561166834e-07
2012-01-09,^GSPC,1280.699951171875,0.0022615979258335,0.0136859744664466,0.1023506039054429,0.0314683207450179,,-0.060801867887695,21.06999969482422,0.0088857697483313,1,1,Bull,2.9901891380538293e-24,0.9999999993447091,6.551434129866232e-10
2012-01-10,^GSPC,1292.0799560546875,0.0088857697483313,0.0136732675988104,0.115140555161942,0.040508175624937,,-0.0524563695376821,20.690000534057617,0.0003095972599744,1,1,Bull,1.9186389524135843e-23,0.9999999996002771,3.996456470999409e-10
2012-01-11,^GSPC,1292.47998046875,0.0003095972599744,0.0128045349507753,0.0837951679586299,0.0407064459563228,,-0.0521630126259847,21.049999237060547,0.0023366083629046,1,1,Bull,2.749426305985415e-16,0.9999982463452313,1.7536547972192552e-06
2012-01-12,^GSPC,1295.5,0.0023366083629046,0.0128043723091212,0.0839281315200211,0.042429745515343,,-0.0499482887946164,20.46999931335449,-0.0049479229484272,0,1,Bull,1.7897542009766135e-12,0.9999630171659519,3.698283248065357e-05
2012-03-27,^GSPC,1412.52001953125,-0.0028167751776319,0.0066264925452276,0.0449410766049287,0.0410024723242397,,-0.0028167751776319,15.59000015258789,-0.0049415090563221,0,0,Bear,0.9975090086379539,0.0024900252170497786,9.661450792078364e-07
2012-03-28,^GSPC,1405.5400390625,-0.0049415090563221,0.0067167067504226,0.0407553047482414,0.0341531088088387,,-0.0077443651139041,15.470000267028809,-0.0016079298367995,0,0,Bear,0.999996446232165,3.5296215762188703e-06,2.4146446172585815e-08
2012-03-29,^GSPC,1403.280029296875,-0.0016079298367995,0.0066208053292483,0.0447057091497982,0.0310452603708601,,-0.00933984255497,15.479999542236328,0.0036984360198231,1,0,Bear,0.9999998326325252,1.5423445654160188e-07,1.313315546373982e-08
2012-03-30,^GSPC,1408.469970703125,0.0036984360198231,0.0063875654139802,0.0371343481709409,0.0334314818269847,,-0.0056759493452717,15.5,0.0075046458776102,1,0,Bear,0.9999997056102508,2.7670025842858143e-07,1.7689370604889325e-08
2012-04-02,^GSPC,1419.0400390625,0.0075046458776102,0.0064871281053119,0.0424689871830787,0.0396056106924505,,0.0,15.640000343322754,-0.0039886359960829,0,0,Bear,0.9999992709415821,6.895188337166457e-07,3.953950556204615e-08
2012-04-03,^GSPC,1413.3800048828125,-0.0039886359960829,0.0065608821774012,0.0375639919048134,0.0339836782341884,,-0.0039886359960829,15.65999984741211,-0.0102025243710081,0,0,Bear,0.9999996211086718,3.547003448609647e-07,2.4191126431488845e-08
2012-04-04,^GSPC,1398.9599609375,-0.0102025243710081,0.0068401482419252,0.0304199326179372,0.0221735128504922,,-0.0141504662111339,16.440000534057617,-0.000629042222354,0,0,Bear,0.9999996792481002,2.775161990013116e-07,4.3235729881555946e-08
2012-04-05,^GSPC,1398.0799560546875,-0.000629042222354,0.006818341234974,0.0253912810856455,0.0204565421740507,,-0.0147706071927751,16.700000762939453,-0.0113584382738918,0,0,Bear,0.9999998387402359,1.3833552662629931e-07,2.2924415588142046e-08
2012-04-09,^GSPC,1382.199951171875,-0.0113584382738918,0.0071706713718905,0.0120520458177952,0.0079274586467081,,-0.0259612744365999,18.809999465942383,-0.0170814543377354,0,0,Bear,0.9999995090275957,3.2170483721559355e-07,1.6926759778592775e-07
