Price,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
Ticker,^GSPC,^IXIC,^NSEI,^VIX,^GSPC,^IXIC,^NSEI,^VIX,^GSPC,^IXIC,^NSEI,^VIX,^GSPC,^IXIC,^NSEI,^VIX,^GSPC,^IXIC,^NSEI,^VIX
Date,,,,,,,,,,,,,,,,,,,,
2015-03-05,2101.0400390625,4982.81005859375,8937.75,14.039999961853027,2104.25,4993.52001953125,8957.5498046875,14.579999923706055,2095.219970703125,4963.10009765625,8849.349609375,13.880000114440918,2098.5400390625,4979.9501953125,8929.400390625,14.010000228881836,3103030000.0,1724200000.0,160100.0,0.0
2015-03-06,2071.260009765625,4927.3701171875,,15.199999809265137,2100.909912109375,4982.93017578125,,15.829999923706055,2067.27001953125,4918.6298828125,,14.180000305175781,2100.909912109375,4967.240234375,,14.609999656677246,3853570000.0,1918220000.0,,0.0
2015-03-09,2079.429931640625,4942.43994140625,8756.75,15.0600004196167,2083.489990234375,4950.47021484375,8891.2998046875,15.760000228881836,2072.2099609375,4920.81982421875,8740.4501953125,14.710000038146973,2072.25,4936.080078125,8891.150390625,15.720000267028809,3349090000.0,1696510000.0,155500.0,0.0
2015-03-10,2044.1600341796875,4859.7900390625,8712.0498046875,16.690000534057617,2076.139892578125,4903.43994140625,8778.0,16.90999984741211,2044.1600341796875,4859.7900390625,8677.349609375,16.030000686645508,2076.139892578125,4899.509765625,8769.75,16.469999313354492,3668900000.0,1876010000.0,163800.0,0.0
2015-03-11,2040.239990234375,4849.93994140625,8699.9501953125,16.8700008392334,2050.080078125,4876.08984375,8755.599609375,17.190000534057617,2039.68994140625,4846.7900390625,8682.349609375,16.290000915527344,2044.68994140625,4866.93994140625,8728.75,16.440000534057617,3406570000.0,1846020000.0,172800.0,0.0
2015-03-12,2065.949951171875,4893.2900390625,8776.0,15.420000076293945,2066.409912109375,4895.7998046875,8787.2001953125,16.450000762939453,2041.0999755859375,4853.2001953125,8732.900390625,15.300000190734863,2041.0999755859375,4853.97998046875,8740.650390625,16.450000762939453,3405860000.0,1855110000.0,173900.0,0.0
2015-03-13,2053.39990234375,4871.759765625,8647.75,16.0,2064.56005859375,4904.47021484375,8849.75,16.739999771118164,2041.1700439453125,4842.7998046875,8631.75,15.319999694824219,2064.56005859375,4885.5400390625,8844.0498046875,15.470000267028809,3498560000.0,1851410000.0,179200.0,0.0
2015-03-16,2081.18994140625,4929.509765625,8633.150390625,15.609999656677246,2081.409912109375,4929.93994140625,8663.5498046875,15.890000343322754,2055.35009765625,4889.08984375,8612.0,15.359999656677246,2055.35009765625,4897.27001953125,8656.75,15.779999732971191,3295600000.0,1713480000.0,163300.0,0.0
2015-03-17,2074.280029296875,4937.43017578125,8723.2998046875,15.65999984741211,2080.590087890625,4944.91015625,8742.5498046875,16.3700008392334,2065.080078125,4907.02001953125,8630.7998046875,15.65999984741211,2080.590087890625,4912.64990234375,8689.099609375,16.309999465942383,3221840000.0,1724370000.0,177000.0,0.0
2015-03-18,2099.5,4982.830078125,8685.900390625,13.970000267028809,2106.85009765625,5001.56982421875,8747.25,16.290000915527344,2061.22998046875,4907.72021484375,8664.0,13.380000114440918,2072.840087890625,4926.830078125,8742.900390625,14.600000381469727,4128210000.0,1983570000.0,156400.0,0.0
2015-03-19,2089.27001953125,4992.3798828125,8634.650390625,14.069999694824219,2098.68994140625,5000.02001953125,8788.2001953125,14.970000267028809,2085.56005859375,4979.93994140625,8614.650390625,13.84000015258789,2098.68994140625,4982.02001953125,8749.4501953125,14.680000305175781,3305220000.0,1674970000.0,163500.0,0.0
2015-03-20,2108.10009765625,5026.419921875,8570.900390625,13.020000457763672,2113.919921875,5042.14013671875,8627.900390625,13.529999732971191,2090.320068359375,5020.06982421875,8553.0,12.539999961853027,2090.320068359375,5033.47021484375,8627.900390625,13.520000457763672,5554120000.0,2825670000.0,174600.0,0.0
2015-03-23,2104.419921875,5010.97021484375,8550.900390625,13.40999984741211,2114.860107421875,5031.39013671875,8608.349609375,13.529999732971191,2104.419921875,5010.97021484375,8540.5498046875,12.890000343322754,2107.989990234375,5020.60009765625,8591.5498046875,13.520000457763672,3267960000.0,1608880000.0,150700.0,0.0
2015-03-24,2091.5,4994.72998046875,8542.9501953125,13.619999885559082,2107.6298828125,5032.47998046875,8627.75,13.680000305175781,2091.5,4994.56005859375,8535.849609375,12.59000015258789,2103.93994140625,5010.10009765625,8537.0498046875,13.359999656677246,3189820000.0,1611670000.0,156700.0,0.0
2015-03-25,2061.050048828125,4876.52001953125,8530.7998046875,15.4399995803833,2097.429931640625,5006.759765625,8573.75,15.550000190734863,2061.050048828125,4876.52001953125,8516.5498046875,13.199999809265137,2093.10009765625,5002.830078125,8568.900390625,13.260000228881836,3521140000.0,2219520000.0,161000.0,0.0
2015-03-26,2056.14990234375,4863.35986328125,8342.150390625,15.800000190734863,2067.14990234375,4889.2099609375,8499.4501953125,17.190000534057617,2045.5,4825.93017578125,8325.349609375,15.229999542236328,2059.93994140625,4835.7099609375,8474.9501953125,16.639999389648438,3510670000.0,2004960000.0,280100.0,0.0
2015-03-27,2061.02001953125,4891.22021484375,8341.400390625,15.069999694824219,2062.830078125,4899.259765625,8413.2001953125,15.829999923706055,2052.9599609375,4859.66015625,8269.150390625,14.1899995803833,2055.780029296875,4863.740234375,8396.0,15.729999542236328,3008550000.0,1678650000.0,193000.0,0.0
2015-03-30,2086.239990234375,4947.43994140625,8492.2998046875,14.510000228881836,2088.969970703125,4948.4599609375,8492.2998046875,14.760000228881836,2064.110107421875,4921.1201171875,8380.75,14.079999923706055,2064.110107421875,4921.77978515625,8390.9501953125,14.760000228881836,2917690000.0,1778520000.0,134700.0,0.0
2015-03-31,2067.889892578125,4900.8798828125,8491.0,15.289999961853027,2084.050048828125,4940.8701171875,8550.4501953125,15.739999771118164,2067.0400390625,4899.31005859375,8454.150390625,14.329999923706055,2084.050048828125,4925.91015625,8527.599609375,14.970000267028809,3376550000.0,1837660000.0,167200.0,0.0
2015-04-01,2059.68994140625,4880.22998046875,8586.25,15.109999656677246,2067.6298828125,4899.3798828125,8603.400390625,16.65999984741211,2048.3798828125,4844.39013671875,8464.75,15.079999923706055,2067.6298828125,4894.35986328125,8483.7001953125,15.319999694824219,3543270000.0,1874960000.0,125500.0,0.0
2015-04-02,2066.9599609375,4886.93994140625,,14.670000076293945,2072.169921875,4901.330078125,,15.510000228881836,2057.320068359375,4872.9599609375,,14.270000457763672,2060.030029296875,4885.41015625,,15.300000190734863,3095960000.0,1563670000.0,,0.0
2015-04-06,2080.6201171875,4917.31982421875,8659.900390625,14.739999771118164,2086.989990234375,4929.6201171875,8667.5498046875,15.760000228881836,2056.52001953125,4852.91015625,8573.75,14.039999961853027,2064.8701171875,4855.93994140625,8615.7998046875,15.75,3302970000.0,1737560000.0,146900.0,0.0
2015-04-07,2076.330078125,4910.22998046875,8660.2998046875,14.779999732971191,2089.81005859375,4948.8798828125,8693.599609375,14.8100004196167,2076.10009765625,4909.77001953125,8586.849609375,14.010000228881836,2080.7900390625,4917.5,8684.4501953125,14.569999694824219,3065510000.0,1572940000.0,148700.0,0.0
2015-04-08,2081.89990234375,4950.81982421875,8714.400390625,13.979999542236328,2086.68994140625,4956.72021484375,8730.5,14.770000457763672,2073.300048828125,4914.14990234375,8679.7998046875,13.75,2076.93994140625,4914.14990234375,8698.9501953125,14.59000015258789,3265330000.0,1714210000.0,148200.0,0.0
2015-04-09,2091.179931640625,4974.56005859375,8778.2998046875,13.09000015258789,2093.31005859375,4975.93017578125,8785.5,14.59000015258789,2074.2900390625,4928.10986328125,8682.4501953125,13.09000015258789,2081.2900390625,4950.83984375,8756.2001953125,14.140000343322754,3172360000.0,1729750000.0,152700.0,0.0
2015-04-10,2102.06005859375,4995.97998046875,8780.349609375,12.579999923706055,2102.610107421875,4996.080078125,8787.400390625,13.260000228881836,2091.510009765625,4970.02001953125,8733.599609375,12.510000228881836,2091.510009765625,4977.02978515625,8774.349609375,13.199999809265137,3156200000.0,1494240000.0,139000.0,0.0
2015-04-13,2092.429931640625,4988.25,8834.0,13.9399995803833,2107.64990234375,5024.25,8841.650390625,14.3100004196167,2092.330078125,4985.9599609375,8762.099609375,12.710000038146973,2102.030029296875,5001.5498046875,8801.75,13.170000076293945,2908420000.0,1544190000.0,121600.0,0.0
2015-04-14,2095.840087890625,4977.2900390625,,13.670000076293945,2098.6201171875,4996.81982421875,,14.739999771118164,2083.239990234375,4952.009765625,,13.640000343322754,2092.280029296875,4988.81982421875,,14.34000015258789,3301270000.0,1571360000.0,,0.0
2015-04-15,2106.6298828125,5011.02001953125,,12.84000015258789,2111.909912109375,5021.18994140625,,13.579999923706055,2097.820068359375,4989.240234375,,12.829999923706055,2097.820068359375,4992.6201171875,,13.579999923706055,4013760000.0,1795530000.0,,0.0
2015-04-16,2104.989990234375,5007.7900390625,8706.7001953125,12.600000381469727,2111.300048828125,5016.0,8760.0,13.350000381469727,2100.02001953125,4996.0,8645.650390625,12.5,2105.9599609375,4999.35986328125,8757.0498046875,13.270000457763672,3434120000.0,1662850000.0,142900.0,0.0
2015-04-17,2081.179931640625,4931.81005859375,8606.0,13.890000343322754,2102.580078125,4974.08984375,8699.849609375,15.020000457763672,2072.3701171875,4912.330078125,8596.7001953125,13.729999542236328,2102.580078125,4966.10986328125,8698.0498046875,13.970000267028809,3627600000.0,1985190000.0,150400.0,0.0
2015-04-20,2100.39990234375,4994.60009765625,8448.099609375,13.300000190734863,2103.93994140625,5000.2001953125,8619.9501953125,13.670000076293945,2084.110107421875,4952.68017578125,8422.75,12.829999923706055,2084.110107421875,4958.06982421875,8618.7998046875,13.670000076293945,3000160000.0,1646340000.0,148900.0,0.0
2015-04-21,2097.2900390625,5014.10009765625,8377.75,13.25,2109.639892578125,5028.22021484375,8469.349609375,13.510000228881836,2094.3798828125,5009.509765625,8352.7001953125,12.65999984741211,2102.820068359375,5023.9599609375,8416.099609375,12.75,3243410000.0,1721260000.0,407800.0,0.0
2015-04-22,2107.9599609375,5035.169921875,8429.7001953125,12.710000038146973,2109.97998046875,5040.64990234375,8449.9501953125,13.800000190734863,2091.050048828125,4992.6201171875,8284.7001953125,12.569999694824219,2098.27001953125,5026.56982421875,8400.400390625,12.970000267028809,3348480000.0,1696380000.0,171800.0,0.0
2015-04-23,2112.929931640625,5056.06005859375,8398.2998046875,12.479999542236328,2120.489990234375,5073.08984375,8504.9501953125,12.960000038146973,2103.18994140625,5019.2900390625,8361.849609375,12.119999885559082,2107.2099609375,5020.22021484375,8478.2001953125,12.960000038146973,3636670000.0,1858620000.0,156000.0,0.0
2015-04-24,2117.68994140625,5092.080078125,8305.25,12.289999961853027,2120.919921875,5100.3701171875,8413.2998046875,13.020000457763672,2112.800048828125,5081.2099609375,8273.349609375,12.15999984741211,2112.800048828125,5096.33984375,8405.7001953125,12.210000038146973,3375780000.0,1895150000.0,173600.0,0.0
2015-04-27,2108.919921875,5060.25,8213.7998046875,13.119999885559082,2125.919921875,5119.830078125,8334.4501953125,13.399999618530273,2107.0400390625,5053.5400390625,8202.349609375,12.329999923706055,2119.2900390625,5104.35986328125,8330.5498046875,12.34000015258789,3438750000.0,2172470000.0,171500.0,0.0
2015-04-28,2114.760009765625,5055.419921875,8285.599609375,12.40999984741211,2116.0400390625,5075.2998046875,8308.0,14.229999542236328,2094.889892578125,5006.27978515625,8185.14990234375,12.40999984741211,2108.35009765625,5063.259765625,8215.5498046875,13.260000228881836,3546270000.0,2032500000.0,174600.0,0.0
2015-04-29,2106.85009765625,5023.64013671875,8239.75,13.390000343322754,2113.64990234375,5053.83984375,8308.2001953125,14.34000015258789,2097.409912109375,4999.830078125,8219.2001953125,12.609999656677246,2112.489990234375,5028.4501953125,8274.7998046875,13.4399995803833,4074970000.0,1871300000.0,160400.0,0.0
2015-04-30,2085.510009765625,4941.419921875,8181.5,14.550000190734863,2105.52001953125,5015.9599609375,8229.400390625,15.289999961853027,2077.590087890625,4921.5498046875,8144.75,12.489999771118164,2105.52001953125,4996.990234375,8224.5,13.890000343322754,4509680000.0,2269290000.0,267700.0,0.0
2015-05-01,2108.2900390625,5005.39013671875,,12.699999809265137,2108.409912109375,5005.39013671875,,13.979999542236328,2087.3798828125,4962.740234375,,12.680000305175781,2087.3798828125,4966.31982421875,,13.979999542236328,3379390000.0,1854400000.0,,0.0
2015-05-04,2114.489990234375,5016.93017578125,8331.9501953125,12.850000381469727,2120.949951171875,5043.6201171875,8346.0,13.180000305175781,2110.22998046875,5013.02001953125,8220.4501953125,12.100000381469727,2110.22998046875,5018.35009765625,8230.0498046875,13.119999885559082,3091580000.0,1668200000.0,131700.0,0.0
